ID,Nombre,Descripción,Stock,Precio
1,Polo Negro,Polo 100% algodón,50,29.9
2,Polo Blanco,Polo básico unisex,40,25.5
3,Polera Azul,Polera de invierno,29,79.9
4,Jeans Slim,Jean moderno slim fit,24,89.9
5,Short Deportivo,Short ligero para ejercicio,60,39.9
6,Gorra Roja,Gorra deportiva ajustable,68,19.9
7,Casaca Negra,Casaca impermeable,14,129.9
8,Zapatillas Urbanas,Zapatillas para uso diario,6,149.9
9,Mochila Escolar,Mochila resistente con varios bolsillos,34,89.9
10,Pantalón Jogger,Jogger algodón premium,43,69.9
12,Shortt,Short vernao,258,30.0
